id	year	month	day	hour	min	sec	lat	lon	depth	mag
913995	1914	7	5	21	51	5	-2.022	136.619	15	6.46
913996	1914	7	6	6	37	33	24.623	121.039	15	6.32
913997	1914	7	14	3	10	26	-5.305	102.579	30	6.32
913998	1914	7	17	7	7	1	51.871	-175.809	35	6.51
913999	1914	7	21	22	31	22	49.405	-130.319	15	6.13
914000	1914	8	3	11	25	30	18.497	-76.925	15	5.88
914001	1914	8	4	22	41	43	43.227	91.616	15	7.42
914003	1914	8	8	19	8	52	22.486	-106.478	15	6.43
914004	1914	8	22	5	28	24	44.437	-128.251	15	6.24
914005	1914	9	1	10	19	11	-4.108	-12.511	10	5.81
914006	1914	9	25	10	30	44	-4.615	-80.424	35	6.17
914007	1914	10	3	17	22	9	16.275	-60.212	15	7.04
914008	1914	10	3	22	7	6	37.666	30.125	15	7.06
914009	1914	10	6	19	15	50	-37.92	177.823	15	6.66
914010	1914	10	9	2	39	13	32.313	76.037	20	6.26
610326513	1914	10	11	9	45	15	38.79	30.83	15	5.5
914011	1914	10	11	16	17	0	11.428	93.604	35	5.97
914012	1914	10	17	6	22	31	38.241	23.685	15	6.23
914013	1914	10	17	10	42	7	38.257	23.816	15	5.74
914014	1914	10	23	6	18	45	4.206	128.022	35	7.48
914015	1914	10	26	3	43	19	45.08	7.404	15	5.5
914016	1914	10	27	9	22	18	43.978	10.704	15	5.6
914017	1914	10	28	0	16	14	-38.755	-179.413	15	6.36
914018	1914	11	4	11	6	54	32.158	69.523	15	6.01
914019	1914	11	18	9	38	0	0.32	-81.951	15	6.53
914022	1914	11	27	14	39	42	38.582	20.587	15	6.31
914023	1914	11	28	10	45	41	29.594	131.049	35	6.74
914024	1914	12	20	14	9	1	-16.643	-173.185	35	6.82
913880	1915	1	13	6	52	43	42.025	13.578	15	6.69
610326400	1915	1	14	5	9	43	42.881	45.458	15	5.62
913881	1915	1	27	1	9	47	38.06	20.263	15	6.46
913884	1915	2	28	18	59	11	23.582	123.668	20	7.21
913885	1915	3	8	15	29	54	38.408	141.65	35	6.63
913886	1915	3	12	14	48	32	11.844	122.695	15	6.82
913887	1915	3	17	18	44	33	41.868	143.797	35	6.5
913888	1915	4	3	13	42	51	1.363	97.121	35	6.24
913889	1915	4	3	20	29	56	50.574	-175.662	15	6.33
913892	1915	4	16	13	55	49	-2.663	100.714	35	5.84
913895	1915	4	24	17	9	14	35.299	142.446	15	6.14
913896	1915	4	28	3	19	57	34.049	96.766	15	6.1
913897	1915	4	30	1	45	1	43.903	100.876	15	6.35
913898	1915	5	1	5	0	10	48.392	155	30	7.8
