date,value,val2,val3
2008/12/31,7897.4,7897.4,7897.4
2009/1/1,-5.9,-5.9,-5.9
2009/1/2,12.3,12.3,12.3
2009/1/3,47.1,47.1,47.1
2009/1/4,61.8,61.8,61.8
2009/1/5,67.1,67.1,67.1
2009/1/6,69.2,69.2,69.2
2009/1/7,78,78,78
2009/1/8,76,76,76
2009/1/9,75.5,75.5,75.5
2009/1/10,98.9,98.9,98.9
2009/1/11,118.5,118.5,118.5
2009/1/12,105.9,105.9,105.9
2009/1/13,112.6,112.6,112.6
2009/1/14,111.6,111.6,111.6
2009/1/15,131,131,131
2009/1/16,146.7,146.7,146.7
2009/1/17,165,165,165
2009/1/18,166.9,166.9,166.9
2009/1/19,186.8,186.8,186.8
2009/1/20,202.1,202.1,202.1
2009/1/21,216.6,216.6,216.6
2009/1/22,245.5,245.5,245.5
2009/1/23,192.1,192.1,192.1
2009/1/24,196.1,196.1,196.1
2009/1/25,222.3,222.3,222.3
2009/1/26,214.1,214.1,214.1
2009/1/27,238.9,238.9,238.9
2009/1/28,256.1,256.1,256.1
2009/1/29,257,257,257
2009/1/30,274.7,274.7,274.7
2009/1/31,290,290,290
2009/2/1,293.8,293.8,293.8
2009/2/2,311,311,311
2009/2/3,324.9,324.9,324.9
2009/2/4,328.9,328.9,328.9
2009/2/5,328.9,328.9,328.9
2009/2/6,345.4,345.4,345.4
2009/2/7,371.7,371.7,371.7
2009/2/8,381.7,381.7,381.7
2009/2/9,398.3,398.3,398.3
2009/2/10,415.7,415.7,415.7
2009/2/11,445.4,445.4,445.4
2009/2/12,487.6,487.6,487.6
2009/2/13,457.8,457.8,457.8
2009/2/14,418.9,418.9,418.9
2009/2/15,409.3,409.3,409.3
2009/2/16,392.3,392.3,392.3
2009/2/17,396.8,396.8,396.8
2009/2/18,407.6,407.6,407.6
2009/2/19,405.9,405.9,405.9
2009/2/20,395.7,395.7,395.7
2009/2/21,450.1,450.1,450.1
2009/2/22,443.4,443.4,443.4
2009/2/23,440.1,440.1,440.1
2009/2/24,467.9,467.9,467.9
2009/2/25,459.9,459.9,459.9
2009/2/26,471.2,471.2,471.2
2009/2/27,449,449,449
