time;origin_data;departure;residual
2008-10-29;6985.950000000003;25669.28341285062;-18683.333412850618
2008-10-30;6989.570000000002;25669.28341285062;-18679.713412850615
2008-10-31;6998.210000000003;25669.28341285062;-18671.073412850616
2008-11-01;7011.870000000003;25689.3280989912;-18677.458098991196
2008-11-02;7030.550000000002;25689.3280989912;-18658.778098991195
2008-11-03;7054.250000000003;25689.3280989912;-18635.078098991195
2008-11-04;7082.970000000002;25689.3280989912;-18606.358098991197
2008-11-05;7116.710000000003;25689.3280989912;-18572.618098991195
2008-11-06;7155.470000000002;25689.3280989912;-18533.858098991197
2008-11-07;7199.250000000003;25689.3280989912;-18490.078098991195
2008-11-08;7248.050000000002;25689.3280989912;-18441.278098991195
2008-11-09;7301.870000000003;25689.3280989912;-18387.458098991196
2008-11-10;7360.710000000003;25689.3280989912;-18328.618098991195
2008-11-11;7424.570000000002;25689.3280989912;-18264.758098991195
2008-11-12;7493.450000000003;25689.3280989912;-18195.878098991197
2008-11-13;7567.350000000001;25689.3280989912;-18121.978098991196
2008-11-14;7646.050000000001;25689.3280989912;-18043.2780989912
2008-11-15;7716.050000000001;25689.3280989912;-17973.2780989912
2008-11-16;7748.250000000003;25689.3280989912;-17941.078098991195
2008-11-17;7755.550000000001;25689.3280989912;-17933.7780989912
2008-11-18;7745.650000000002;25689.3280989912;-17943.678098991197
2008-11-19;7763.050000000001;25689.3280989912;-17926.2780989912
2008-11-20;7804.350000000001;25689.3280989912;-17884.978098991196
2008-11-21;7827.850000000001;25689.3280989912;-17861.478098991196
2008-11-22;7844.750000000003;25689.3280989912;-17844.578098991195
2008-11-23;7861.550000000001;25689.3280989912;-17827.7780989912
2008-11-24;7876.750000000003;25689.3280989912;-17812.578098991195
2008-11-25;7893.250000000003;25689.3280989912;-17796.078098991195
2008-11-26;7913.750000000003;25689.3280989912;-17775.578098991195
2008-11-27;7915.050000000001;25689.3280989912;-17774.2780989912
2008-11-28;7938.550000000001;25689.3280989912;-17750.7780989912
2008-11-29;7937.450000000003;25689.3280989912;-17751.878098991197
2008-11-30;7952.750000000003;25689.3280989912;-17736.578098991195
2008-12-01;7956.250000000003;24422.07880556296;-16465.828805562956
2008-12-02;7966.550000000001;24422.07880556296;-16455.528805562957
2008-12-03;7885.550000000001;24422.07880556296;-16536.528805562957
2008-12-04;7839.950000000003;24422.07880556296;-16582.128805562956
2008-12-05;7835.450000000003;24422.07880556296;-16586.628805562956
2008-12-06;7860.550000000001;24422.07880556296;-16561.528805562957
2008-12-07;7870.350000000001;24422.07880556296;-16551.728805562958
2008-12-08;7859.550000000001;24422.07880556296;-16562.528805562957
2008-12-09;7870.950000000003;24422.07880556296;-16551.128805562956
2008-12-10;7850.650000000002;24422.07880556296;-16571.42880556296
2008-12-11;7844.050000000001;24422.07880556296;-16578.028805562957
2008-12-12;7864.750000000003;24422.07880556296;-16557.328805562956
2008-12-13;7832.550000000001;24422.07880556296;-16589.528805562957
2008-12-14;7836.450000000003;24422.07880556296;-16585.628805562956
2008-12-15;7850.050000000001;24422.07880556296;-16572.028805562957
2008-12-16;7845.450000000003;24422.07880556296;-16576.628805562956
2008-12-17;7845.650000000002;24422.07880556296;-16576.42880556296
2008-12-18;7864.450000000003;24422.07880556296;-16557.628805562956
2008-12-19;7875.950000000003;24422.07880556296;-16546.128805562956
2008-12-20;7836.950000000003;24422.07880556296;-16585.128805562956
2008-12-21;7753.750000000003;24422.07880556296;-16668.328805562956
2008-12-22;7733.550000000001;24422.07880556296;-16688.528805562957
2008-12-23;7755.650000000002;24422.07880556296;-16666.42880556296
2008-12-24;7773.750000000003;24422.07880556296;-16648.328805562956
2008-12-25;7806.750000000003;24422.07880556296;-16615.328805562956
2008-12-26;7839.350000000001;24422.07880556296;-16582.728805562958
2008-12-27;7868.650000000002;24422.07880556296;-16553.42880556296
2008-12-28;7875.650000000002;24422.07880556296;-16546.42880556296
2008-12-29;7880.250000000003;24422.07880556296;-16541.828805562956
2008-12-30;7880.750000000003;24422.07880556296;-16541.328805562956
2008-12-31;7892.050000000001;24422.07880556296;-16530.028805562957
2009-01-01;7911.183333333333;22922.959745093627;-15011.776411760293
2009-01-02;7938.1500000000015;22922.959745093627;-14984.809745093626
2009-01-03;7972.950000000002;22922.959745093627;-14950.009745093626
2009-01-04;7987.6500000000015;22922.959745093627;-14935.309745093626
2009-01-05;7992.950000000002;22922.959745093627;-14930.009745093626
2009-01-06;7995.050000000001;22922.959745093627;-14927.909745093626
2009-01-07;8003.850000000001;22922.959745093627;-14919.109745093625
2009-01-08;8001.850000000001;22922.959745093627;-14921.109745093625
2009-01-09;8001.350000000001;22922.959745093627;-14921.609745093625
2009-01-10;8024.750000000001;22922.959745093627;-14898.209745093627
2009-01-11;8044.350000000001;22922.959745093627;-14878.609745093625
2009-01-12;8031.750000000001;22922.959745093627;-14891.209745093627
2009-01-13;8038.450000000002;22922.959745093627;-14884.509745093626
2009-01-14;8037.450000000002;22922.959745093627;-14885.509745093626
2009-01-15;8056.85;22922.959745093627;-14866.109745093627
2009-01-16;8072.55;22922.959745093627;-14850.409745093628
2009-01-17;8090.85;22922.959745093627;-14832.109745093627
2009-01-18;8092.75;22922.959745093627;-14830.209745093627
2009-01-19;8112.65;22922.959745093627;-14810.309745093627
2009-01-20;8127.95;22922.959745093627;-14795.009745093626
2009-01-21;8142.45;22922.959745093627;-14780.509745093626
2009-01-22;8171.3499999999985;22922.959745093627;-14751.609745093629
2009-01-23;8117.95;22922.959745093627;-14805.009745093626
2009-01-24;8121.95;22922.959745093627;-14801.009745093626
2009-01-25;8148.15;22922.959745093627;-14774.809745093627
2009-01-26;8139.95;22922.959745093627;-14783.009745093626
2009-01-27;8164.75;22922.959745093627;-14758.209745093627
2009-01-28;8181.95;22922.959745093627;-14741.009745093626
2009-01-29;8182.8499999999985;22922.959745093627;-14740.109745093629
2009-01-30;8200.55;22922.959745093627;-14722.409745093628
2009-01-31;8215.849999999999;22922.959745093627;-14707.109745093629
2009-02-01;8219.649999999998;23337.996991095733;-15118.346991095736
2009-02-02;8236.849999999999;23337.996991095733;-15101.146991095735
2009-02-03;8250.749999999998;23337.996991095733;-15087.246991095735
2009-02-04;8254.749999999998;23337.996991095733;-15083.246991095735
2009-02-05;8254.749999999998;23337.996991095733;-15083.246991095735
2009-02-06;8271.249999999998;23337.996991095733;-15066.746991095735
2009-02-07;8297.549999999997;23337.996991095733;-15040.446991095736
2009-02-08;8307.549999999997;23337.996991095733;-15030.446991095736
2009-02-09;8324.149999999998;23337.996991095733;-15013.846991095736
2009-02-10;8341.549999999997;23337.996991095733;-14996.446991095736
2009-02-11;8371.249999999998;23337.996991095733;-14966.746991095735
2009-02-12;8413.449999999999;23337.996991095733;-14924.546991095734
2009-02-13;8383.65;23337.996991095733;-14954.346991095734
2009-02-14;8344.75;23337.996991095733;-14993.246991095733
2009-02-15;8335.15;23337.996991095733;-15002.846991095734
2009-02-16;8318.15;23337.996991095733;-15019.846991095734
2009-02-17;8322.65;23337.996991095733;-15015.346991095734
2009-02-18;8333.449999999999;23337.996991095733;-15004.546991095734
2009-02-19;8331.749999999998;23337.996991095733;-15006.246991095735
2009-02-20;8321.549999999997;23337.996991095733;-15016.446991095736
2009-02-21;8375.949999999997;23337.996991095733;-14962.046991095736
2009-02-22;8369.249999999996;23337.996991095733;-14968.746991095737
2009-02-23;8365.949999999997;23337.996991095733;-14972.046991095736
2009-02-24;8393.749999999996;23337.996991095733;-14944.246991095737
2009-02-25;8385.749999999996;23337.996991095733;-14952.246991095737
2009-02-26;8397.049999999996;23337.996991095733;-14940.946991095738
2009-02-27;8374.849999999995;23337.996991095733;-14963.146991095738
2009-02-28;8359.749999999995;23337.996991095733;-14978.246991095739
2009-03-01;8349.449999999995;23773.238132190385;-15423.78813219039
2009-03-02;8357.949999999995;23773.238132190385;-15415.28813219039
2009-03-03;8357.449999999995;23773.238132190385;-15415.78813219039
2009-03-04;8375.649999999996;23773.238132190385;-15397.588132190389
2009-03-05;8350.049999999996;23773.238132190385;-15423.18813219039
2009-03-06;8343.049999999996;23773.238132190385;-15430.18813219039
2009-03-07;8362.249999999996;23773.238132190385;-15410.988132190389
2009-03-08;8363.849999999997;23773.238132190385;-15409.388132190388
2009-03-09;8389.349999999997;23773.238132190385;-15383.888132190388
2009-03-10;8416.249999999996;23773.238132190385;-15356.988132190389
2009-03-11;8418.749999999996;23773.238132190385;-15354.488132190389
2009-03-12;8425.349999999997;23773.238132190385;-15347.888132190388
2009-03-13;8386.449999999997;23773.238132190385;-15386.788132190388
2009-03-14;8340.849999999997;23773.238132190385;-15432.388132190388
2009-03-15;8295.249999999996;23773.238132190385;-15477.988132190389
2009-03-16;8306.649999999996;23773.238132190385;-15466.588132190389
2009-03-17;8356.049999999996;23773.238132190385;-15417.18813219039
2009-03-18;8354.649999999996;23773.238132190385;-15418.588132190389
2009-03-19;8375.049999999996;23773.238132190385;-15398.18813219039
2009-03-20;8402.449999999995;23773.238132190385;-15370.78813219039
2009-03-21;8441.649999999996;23773.238132190385;-15331.588132190389
2009-03-22;8426.749999999996;23773.238132190385;-15346.488132190389
2009-03-23;8393.649999999996;23773.238132190385;-15379.588132190389
2009-03-24;8392.049999999996;23773.238132190385;-15381.18813219039
2009-03-25;8415.449999999995;23773.238132190385;-15357.78813219039
2009-03-26;8434.149999999996;23773.238132190385;-15339.088132190389
2009-03-27;8435.149999999996;23773.238132190385;-15338.088132190389
