time;origin_data;trans_data;residual
2017-05-12;12751.5;7780.25914034987;4971.24085965013
2017-05-13;12831.7;7782.988521766882;5048.711478233119
2017-05-14;12841.4;7785.717903183893;5055.682096816106
2017-05-15;12859.8;7788.447284600903;5071.352715399096
2017-05-16;12886.6;7791.176666017915;5095.423333982086
2017-05-17;12972.8;7793.906047434924;5178.893952565075
2017-05-18;13002.8;7796.635428851936;5206.164571148063
2017-05-19;13036.6;7799.364810268946;5237.235189731055
2017-05-20;13065.8;7802.094191685957;5263.705808314042
2017-05-21;13116.1;7804.823573102967;5311.276426897033
2017-05-22;13103.5;7807.552954519979;5295.947045480021
2017-05-23;12409.4;7810.282335936989;4599.117664063011
2017-05-24;11979.0;7813.011717354;4165.988282646
2017-05-25;12241.9;7815.74109877101;4426.15890122899
2017-05-26;12657.9;7818.470480188022;4839.429519811978
2017-05-27;12818.8;7821.199861605031;4997.600138394968
2017-05-28;12958.6;7823.929243022043;5134.670756977957
2017-05-29;13080.4;7826.658624439053;5253.741375560947
2017-05-30;13186.2;7829.388005856064;5356.811994143936
2017-05-31;13301.1;7832.117387273074;5468.982612726926
2017-06-01;13451.1;7834.846768690086;5616.253231309915
2017-06-02;13559.6;7837.576150107096;5722.023849892905
2017-06-03;13655.4;7840.305531524107;5815.094468475892
2017-06-04;13703.8;7843.034912941117;5860.765087058882
2017-06-05;13769.5;7845.764294358129;5923.735705641871
2017-06-06;13772.6;7848.49367577514;5924.10632422486
2017-06-07;13800.7;7851.22305719215;5949.476942807851
2017-06-08;13812.0;7853.952438609162;5958.047561390838
2017-06-09;13829.1;7856.681820026173;5972.418179973827
2017-06-10;13818.7;7859.411201443183;5959.288798556818
2017-06-11;13796.1;7862.140582860195;5933.959417139806
2017-06-12;13744.2;7864.869964277204;5879.330035722796
2017-06-13;13709.1;7867.599345694216;5841.500654305784
2017-06-14;13731.7;7870.328727111228;5861.371272888773
2017-06-15;13731.7;7873.058108528237;5858.641891471763
2017-06-16;13715.5;7875.787489945249;5839.712510054751
2017-06-17;13822.3;7878.516871362259;5943.78312863774
2017-06-18;13878.9;7881.24625277927;5997.653747220729
2017-06-19;13968.3;7883.97563419628;6084.324365803719
2017-06-20;14120.5;7886.705015613292;6233.794984386708
2017-06-21;14174.2;7889.434397030302;6284.765602969699
2017-06-22;14184.6;7892.163778447313;6292.436221552687
2017-06-23;14276.6;7894.893159864323;6381.706840135677
