"ID","lon","lat","elev","grav","FreeAir","C_Bouguer"
30133,103.742,24.537,1681.6254,978384.6206,-20.24815289,-209.0959644
30131,103.739,24.532,1691.8601,978381.7329,-19.63800659,-209.6456129
30132,103.721,24.522,1695.6961,978386.9477,-12.5582219,-203.0821884
30213,103.707,24.519,1758.6342,978369.9557,-9.932920097,-207.6503069
30212,103.681,24.515,1758.8633,978370.7828,-8.762526485,-206.5634403
30211,103.658,24.52,1764.6068,978370.861,-7.253606699,-205.7277508
30210,103.633,24.528,1773.7918,978365.5383,-10.28869225,-209.820313
30209,103.61,24.515,1764.8257,978365.7985,-11.90779639,-210.4111426
30208,103.585,24.519,1686.2622,978379.2324,-22.97889689,-212.6288548
30207,103.566,24.507,1653.3702,978384.1649,-27.37418764,-213.2594142
30206,103.547,24.486,1570.8054,978399.7332,-35.8433944,-212.235189
30205,103.527,24.47,1530.2208,978407.0199,-39.98656147,-211.7802368
30204,103.509,24.452,1531.3683,978408.4287,-36.99906991,-209.0544726
30203,103.497,24.436,1520.4426,978410.3876,-37.32237162,-208.1405021
30202,103.474,24.428,1440.0303,978427.3441,-44.62754165,-206.1509397
30218,103.457,24.274,1356.4386,978433.2925,-54.02369993,-205.4934044
30201,103.45,24.421,1408.4792,978433.9362,-47.29280491,-205.0825383
30216,103.449,24.324,1369.88,978434.8565,-51.69813864,-204.8195981
30217,103.449,24.3,1361.0902,978431.8067,-55.83407457,-207.6918529
30214,103.448,24.375,1398.7383,978433.6784,-47.43180046,-204.1744813
30219,103.446,24.247,1360.5928,978422.5258,-61.68308025,-214.075866
30215,103.445,24.349,1422.231,978426.4204,-45.67888718,-204.9864212
30200,103.442,24.4,1381.6346,978438.1073,-49.97641535,-204.739274
30220,103.427,24.235,1395.5853,978418.8435,-53.75941529,-210.3687091
30221,103.405,24.23,1356.8064,978429.6507,-54.5775073,-206.8192492
30222,103.374,24.223,1419.1268,978420.8725,-43.65742231,-202.8888363
30223,103.351,24.209,1453.6386,978417.3337,-35.60440547,-198.7313368
30224,103.343,24.187,1426.053,978422.179,-37.78409917,-197.7721632
30225,103.331,24.167,1425.8854,978421.7966,-36.86928347,-196.7192787
30226,103.312,24.163,1455.8982,978413.7961,-35.34156548,-198.3225699
30227,103.292,24.153,1514.8181,978400.0512,-30.23680134,-199.635905
30228,103.272,24.143,1735.3509,978355.4339,-6.154751274,-200.3992248
30229,103.262,24.16,1861.8054,978330.0807,6.349297656,-202.0837206
30230,103.244,24.173,1728.29,978356.7964,-8.992377334,-202.9440137
30231,103.213,24.175,1595.8862,978382.155,-24.60917396,-203.394711
30232,103.19,24.187,1529.4559,978395.9205,-32.14479354,-203.3925578
30233,103.165,24.184,1382.5927,978423.4024,-49.7654355,-203.8330559
30234,103.147,24.198,1299.9886,978440.5319,-59.06398337,-203.4657258
