"lon","lat","elev","grav","name"
102.52163,24.37594,1623.75,978491.81,9103
102.52079,24.37653,1623.995,978491.566,9104
102.51976,24.37752,1623.869,978491.319,9105
102.51713,24.37807,1623.772,978490.899,9106
102.51606,24.37863,1623.908,978490.613,9107
102.51482,24.37914,1623.291,978490.477,9108
102.51354,24.37967,1623.65,978490.192,9109
102.51178,24.38039,1624.494,978489.887,9110
102.51078,24.38075,1627.096,978489.375,9111
102.50911,24.37975,1649.075,978484.917,9112
102.50751,24.38015,1653.86,978484.204,9113
102.50492,24.3804,1641.168,978487.604,9114
102.50376,24.38068,1642.732,978487.989,9115
102.50242,24.381,1648.647,978487.807,9116
102.50112,24.38191,1660.414,978487.279,9117
102.49899,24.38344,1665.915,978490.154,9118
102.49742,24.38391,1666.67,978492.304,9119
102.496,24.38505,1680.088,978490.994,9120
102.49444,24.38561,1690.1,978489.847,9121
102.49211,24.38538,1699.639,978488.352,9122
102.49049,24.38541,1711.211,978485.912,9123
102.48907,24.38452,1720.276,978484.05,9124
102.48706,24.38452,1736.341,978481.327,9125
102.48549,24.38515,1749.437,978478.958,9126
102.48442,24.38635,1753.726,978478.47,9127
102.48322,24.38779,1765.789,978476.574,9128
102.48254,24.38881,1776.632,978474.308,9129
102.50888,24.37408,1628.967,978489.685,9130
102.51019,24.37324,1626.077,978490.398,9131
102.51174,24.37227,1624.401,978490.955,9132
102.51297,24.37158,1623.718,978491.318,9133
102.5143,24.37092,1623.227,978491.643,9134
102.51564,24.37003,1622.935,978492.083,9135
102.51699,24.36913,1622.642,978492.544,9136
102.51853,24.36883,1622.381,978492.93,9137
102.51995,24.36788,1622.366,978493.382,9138
102.52878,24.3719,1625.269,978493.778,3056
102.52976,24.37063,1625.298,978494.413,3057
102.53043,24.36907,1625.773,978495.002,3058
102.53123,24.36721,1625.545,978495.794,3059
102.53267,24.36577,1623.642,978496.965,3060
102.53423,24.3648,1623.409,978497.561,3061
102.53619,24.36288,1623.724,978498.227,3062
102.53774,24.36178,1624.191,978498.581,3063
102.5401,24.3597,1627.01,978499.251,3064
102.54258,24.35769,1631.559,978498.091,3065
102.54362,24.35698,1632.409,978498.16,3066
102.54535,24.35515,1634.358,978498.758,3067
102.54707,24.3539,1637.274,978498.3,3068
102.54904,24.35235,1639.999,978497.872,3069
102.55044,24.35108,1644.008,978497.532,3070
102.55274,24.34943,1649.909,978498.133,3071
102.55513,24.34861,1659.459,978497.879,3072
102.52501,24.3371,1625.152,978499.862,9018
102.52364,24.33769,1622.954,978499.813,9019
102.52256,24.33857,1622.044,978499.803,9020
102.52139,24.33957,1621.095,978499.885,9021
102.52008,24.34068,1619.957,978500.183,9022
102.51878,24.34169,1619.293,978500.18,9023
102.51758,24.34262,1619.086,978499.836,9024
102.51642,24.34353,1618.898,978499.278,9025
102.51526,24.3444,1618.736,978498.848,9026
102.52682,24.34141,1625.031,978502.477,9027
102.52555,24.34253,1624.572,978501.686,9028
102.52456,24.34336,1622.995,978501.217,9029
102.5234,24.3442,1621.265,978500.73,9030
102.52227,24.34527,1620.083,978500.063,9031
102.52086,24.34626,1619.3,978499.428,9032
102.51963,24.3473,1618.892,978498.915,9033
102.51844,24.34834,1618.844,978498.461,9034
102.51724,24.34932,1618.98,978498.003,9035
102.51537,24.35061,1619.632,978497.22,9036
102.51406,24.35198,1619.753,978496.503,9037
102.51266,24.35286,1619.984,978495.848,9038
102.51157,24.35399,1621.542,978494.952,9039
102.50679,24.35157,1619.963,978495.176,9040
102.50806,24.3506,1619.367,978495.718,9041
102.5093,24.34964,1619.079,978496.277,9042
102.51054,24.34871,1618.875,978496.821,9043
102.51171,24.34751,1618.693,978497.496,9044
102.50466,24.35213,1619.162,978495.046,9045
102.50353,24.35326,1618.664,978494.846,9046
102.50243,24.35437,1618.227,978494.785,9047
102.50117,24.35552,1618.275,978494.787,9048
102.49976,24.35678,1618.484,978494.82,9049
102.50902,24.35424,1620.352,978494.715,9050
102.5078,24.35535,1619.063,978494.526,9051
102.50636,24.35693,1618.947,978494.107,9052
102.5044,24.35782,1618.159,978494.094,9053
102.50258,24.35879,1619.366,978493.914,9054
102.50094,24.36004,1621.097,978493.575,9055
102.49943,24.36143,1624.313,978493.052,9056
102.49841,24.36324,1631.296,978491.765,9057
102.49633,24.36393,1634.516,978492.026,9058
102.49507,24.36537,1645.135,978490.535,9059
102.49307,24.36647,1666.316,978487.415,9060
102.49074,24.36746,1685.036,978485.196,9061
102.48922,24.3691,1694.535,978484.341,9062
102.48714,24.37016,1706.476,978483.161,9063
102.48542,24.37137,1716.812,978482.135,9064
102.48334,24.3715,1719.842,978482.407,9065
102.50767,24.36113,1619.226,978493.399,9066
102.50917,24.36011,1619.285,978493.626,9067
102.51058,24.35887,1619.187,978493.976,9068
102.5128,24.35713,1621.42,978494.33,9069
102.51453,24.35608,1620.318,978495.158,9070
102.51598,24.35496,1619.881,978495.828,9071
102.5177,24.35372,1619.601,978496.625,9072
102.51935,24.35247,1618.816,978497.408,9073
