time;origin_data;despiked;flag
2009-04-06;494.6;8420.449999999997;0
2009-04-07;494.1;8419.949999999997;0
2009-04-08;478.7;8404.549999999997;0
2009-04-09;463.0;8388.849999999997;0
2009-04-10;475.0;8400.849999999997;0
2009-04-11;468.6;8394.449999999997;0
2009-04-12;308.0;8376.824999999997;2
2009-04-13;137.5;8347.974999999997;2
2009-04-14;107.5;8307.899999999996;1
2009-04-15;56.2;8256.599999999997;0
2009-04-16;4.6;8204.999999999996;0
2009-04-17;-30.5;8169.899999999996;0
2009-04-18;-143.0;8158.449999999996;2
2009-04-19;-386.8;8170.649999999996;2
2009-04-20;-358.9;8206.499999999996;1
2009-04-21;-299.4;8265.999999999996;0
2009-04-22;-257.7;8307.699999999997;0
2009-04-23;-177.4;8387.999999999996;0
2009-04-24;-107.9;8457.499999999996;0
2009-04-25;-52.8;8512.599999999997;0
2009-04-26;42.1;8607.499999999996;0
2009-04-27;125.3;8690.699999999997;0
2009-04-28;181.2;8746.599999999997;0
2009-04-29;230.4;8795.799999999997;0
2009-04-30;270.9;8836.299999999997;0
2009-05-01;318.3;8883.699999999997;0
2009-05-02;320.7;8886.099999999997;0
2009-05-03;358.2;8923.599999999997;0
2009-05-04;401.8;8967.199999999997;0
2009-05-05;394.7;8960.099999999997;0
2009-05-06;303.6;8868.999999999996;0
2009-05-07;305.9;8871.299999999996;0
2009-05-08;317.3;8882.699999999995;0
2009-05-09;339.7;8905.099999999995;0
2009-05-10;366.3;8931.699999999995;0
2009-05-11;400.4;8965.799999999996;0
2009-05-12;441.4;9006.799999999996;0
2009-05-13;256.2;9044.499999999996;2
2009-05-14;162.5;9078.899999999996;1
2009-05-15;302.1;9109.999999999996;2
2009-05-16;394.3;9137.799999999996;1
2009-05-17;418.8;9162.299999999996;0
2009-05-18;500.8;9244.299999999996;0
2009-05-19;639.0;9319.53333333333;2
2009-05-20;719.7;9387.999999999996;1
2009-05-21;781.4;9449.699999999997;0
2009-05-22;833.1;9501.399999999998;0
2009-05-23;715.8;9450.949999999997;1
2009-05-24;732.2;9400.499999999996;0
2009-05-25;806.0;9474.299999999996;0
2009-05-26;874.4;9542.699999999995;0
2009-05-27;894.7;9562.999999999995;0
2009-05-28;915.6;9583.899999999994;0
2009-05-29;938.7;9606.999999999995;0
2009-05-30;1002.8;9671.099999999995;0
2009-05-31;1048.5;9716.799999999996;0
2009-06-01;1073.6;9741.899999999996;0
2009-06-02;1106.5;9774.799999999996;0
