time;origin_data;trend;seasonal;residual
2016-12-10;35568.35480769233;37213.590316909045;-154.499967558138;-1490.7355416585747
2016-12-11;35593.754807692334;37237.82310405341;-140.27429079312282;-1503.7940055679514
2016-12-12;35633.95480769233;37261.77616517037;-127.62968252125604;-1500.1916749567824
2016-12-13;35656.65480769233;37285.47223998597;-124.17556740007542;-1504.641864893564
2016-12-14;35672.25480769233;37309.09489014402;-127.52767145697929;-1509.3124109947146
2016-12-15;35695.05480769233;37332.7890471514;-130.75577551387943;-1506.9784639451875
2016-12-16;35727.55480769233;37356.52703977522;-130.552400118731;-1498.4198319641569
2016-12-17;35787.25480769233;37380.413799522314;-126.02937403864483;-1467.129617791342
2016-12-18;35821.854807692325;37404.53507981737;-127.94371097225779;-1454.7365611527846
2016-12-19;35866.954807692324;37429.15499024941;-133.51278078258713;-1428.6874017744972
2016-12-20;35920.65480769232;37454.13996214964;-141.84465881209246;-1391.6404956452252
2016-12-21;35967.25480769232;37479.31930356165;-146.83156423885617;-1365.232931630474
2016-12-22;35967.95480769232;37504.268760885156;-144.43888747384193;-1391.8750657189971
2016-12-23;35890.45480769232;37529.211895763976;-150.7280189280043;-1488.029069143655
2016-12-24;35908.15480769231;37553.9665164173;-139.6598033502044;-1506.1519053747804
2016-12-25;35919.75480769231;37578.49700640675;-123.36546057083392;-1535.3767381436069
2016-12-26;35884.75480769231;37602.88500956799;-108.0041908508317;-1610.1260110248443
2016-12-27;35840.75480769231;37627.07463549001;-92.07204441849531;-1694.2477833792036
2016-12-28;35855.054807692315;37651.15108965229;-74.67404867109367;-1721.4222332888799
2016-12-29;35823.054807692315;37675.09628986303;-67.19583374560766;-1784.8456484251087
2016-12-30;35839.054807692315;37698.844756670194;-54.228605121490304;-1805.561343856389
2016-12-31;35807.85480769232;37722.452380484734;-29.822837684589857;-1884.7747351078262
2017-01-01;35815.554807692315;37745.91285993679;-7.235311604507146;-1923.1227406399682
2017-01-02;35812.85480769232;37769.18573840535;8.916022694757672;-1965.2469534077907
2017-01-03;35840.85480769232;37792.23055926943;21.396178911825203;-1972.7719304889392
2017-01-04;35800.65480769232;37815.01848445382;30.3853533937408;-2044.7490301552434
2017-01-05;35729.37147435899;37837.54031058659;29.360039291172015;-2137.5288755187757
2017-01-06;35658.088141025655;37859.77477950124;30.304738887236866;-2231.991377362822
2017-01-07;35586.80480769232;37881.97049604498;31.84967592622803;-2327.0153642788873
2017-01-08;35515.52147435899;37904.01058561295;36.37918374147172;-2424.8682949954346
2017-01-09;35444.238141025664;37925.8685845592;31.952061419731095;-2513.5825049532646
2017-01-10;35372.954807692324;37947.43391964877;36.96962402949717;-2611.448735985944
2017-01-11;35315.649807692316;37968.60505874255;43.40562271231698;-2696.3608737625495
2017-01-12;35272.323141025656;37989.48841490695;44.73219445450228;-2761.897468335794
2017-01-13;35242.97480769232;38010.13231901653;52.578983091664355;-2819.736494415871
2017-01-14;35227.60480769232;38030.49868887953;58.931714651201;-2861.825595838415
2017-01-15;35226.21314102565;38050.6108121672;67.18482748927832;-2891.5824986308307
2017-01-16;35238.79980769232;38070.92649709872;63.289280510000445;-2895.4159699164034
2017-01-17;35265.36480769232;38091.30382586584;62.087183302412775;-2888.0262014759346
2017-01-18;35305.908141025655;38111.67129161926;57.69708381172219;-2863.46023440533
2017-01-19;35360.42980769232;38131.83036696173;57.263173818745926;-2828.6637330881545
2017-01-20;35428.92980769232;38151.836942304195;58.37849441938075;-2781.2856290312534
2017-01-21;35525.62980769232;38171.80170257816;64.07639036247608;-2710.248285248316
2017-01-22;35622.97980769232;38191.79889435899;73.56109452475272;-2642.3801811914227
2017-01-23;35720.97980769232;38211.67481901652;81.47720964593178;-2572.1722209701375
2017-01-24;35819.62980769232;38231.429202578176;92.81681791779661;-2504.616212803653
2017-01-25;35918.92980769232;38251.13519572886;99.55013851843101;-2431.755526554966
2017-01-26;36018.87980769232;38270.8843053179;110.24426733824035;-2362.2487649638215
2017-01-27;36118.82980769232;38290.449853263104;120.54406739092852;-2292.164112961716
2017-01-28;36206.07980769232;38309.861976550776;128.3699496353937;-2232.152118493853
2017-01-29;36293.32980769232;38329.21409983845;141.16342092095744;-2177.04771306709
2017-01-30;36345.02980769231;38348.45033271516;143.61052234350814;-2147.031047366356
2017-01-31;36435.02980769231;38367.613140934336;147.7529388345492;-2080.3362720765717
2017-02-01;36490.32980769232;38386.775127235705;156.1005334077871;-2052.545852951176
2017-02-02;36575.62980769232;38406.05766148227;155.15749784403357;-1985.5853516339853
2017-02-03;36669.62980769232;38425.401839564474;163.59380474603745;-1919.3658366181924
2017-02-04;36750.97980769232;38444.805743674064;174.99574178502405;-1868.8216777667699
2017-02-05;36819.67980769232;38464.24197655078;179.33999389250727;-1823.902162750965
2017-02-06;36875.72980769232;38483.646154632974;192.47883504108535;-1800.3951819817412
2017-02-07;36919.12980769232;38502.9944423042;189.2062104362393;-1773.0708450481234
2017-02-08;36995.32980769232;38522.44820942749;197.02114747522478;-1724.1395492104018
2017-02-09;37073.37980769232;38542.00362038639;216.1414406785991;-1684.7652533726725
2017-02-10;37153.27980769232;38561.64177107133;225.4894188134785;-1633.8513821924862
2017-02-11;37235.02980769232;38581.20540120832;241.78278051000194;-1587.9583740259982
