Line,Point,latitude,longitude,elevation,gravity_val
7,7008,24.42644,102.53402,1650.357,978485.522
7,7009,24.42734,102.53219,1651.15,978485.949
7,7010,24.42803,102.53064,1652.044,978486.434
7,7012,24.42963,102.5283,1655.272,978487.437
7,7013,24.42985,102.52697,1661.867,978487.219
7,7014,24.42974,102.52507,1673.692,978486.339
7,7015,24.43017,102.52266,1685.373,978486.092
7,7016,24.4307,102.52061,1696.995,978485.446
7,7017,24.43142,102.51867,1707.555,978484.748
87,87001,24.4241,102.54103,1650.752,978485.594
87,87002,24.42547,102.54153,1651.483,978485.803
87,87003,24.42557,102.53897,1650.629,978485.517
87,87004,24.427,102.53962,1652.172,978485.51
87,87005,24.42854,102.54032,1653.442,978485.641
87,87006,24.43,102.54099,1654.554,978485.74
87,87007,24.43142,102.54164,1655.813,978485.763
87,87009,24.43102,102.52905,1656.393,978487.203
87,87010,24.43361,102.53085,1657.031,978486.962
87,87011,24.43228,102.52995,1657.774,978486.856
87,87012,24.43491,102.53153,1659.429,978486.652
87,87013,24.43634,102.53202,1659.925,978486.805
87,87014,24.43764,102.53297,1661.488,978486.56
87,87015,24.435,102.52984,1659.449,978487.277
87,87016,24.43559,102.52831,1661.609,978487.935
87,87017,24.43623,102.52669,1667.997,978488.032
87,87018,24.43689,102.52502,1676.696,978487.878
87,87019,24.43565,102.52374,1682.177,978487.158
13,13001,24.4395,102.56902,1676.861,978491.902
13,13002,24.43759,102.56591,1671.279,978491.261
13,13003,24.43687,102.56473,1669.802,978491.127
13,13004,24.43572,102.56354,1667.655,978491.079
13,13005,24.43449,102.56181,1664.537,978491.203
13,13006,24.43376,102.55962,1663.334,978490.775
13,13007,24.43241,102.55726,1659.713,978490.482
13,13008,24.43084,102.5562,1658.357,978490.2
13,13009,24.43017,102.5534,1657.346,978489.26
13,13010,24.42858,102.55181,1656.246,978488.658
13,13011,24.4273,102.55013,1654.907,978488.072
13,13012,24.42568,102.54869,1652.6,978487.83
13,13013,24.42447,102.54764,1651.617,978487.469
13,13014,24.4231,102.54605,1651.372,978486.818
13,13015,24.42075,102.54595,1648.89,978487.037
13,13016,24.41952,102.54416,1648.189,978486.416
13,13017,24.41804,102.54263,1646.83,978486.12
